frequency,v(vout)
1.00000000e+00,-1.06836205e+02
1.12201845e+00,-1.06836205e+02
1.25892541e+00,-1.06836205e+02
1.41253754e+00,-1.06836205e+02
1.58489319e+00,-1.06836205e+02
1.77827941e+00,-1.06836205e+02
1.99526231e+00,-1.06836205e+02
2.23872114e+00,-1.06836205e+02
2.51188643e+00,-1.06836205e+02
2.81838293e+00,-1.06836205e+02
3.16227766e+00,-1.06836205e+02
3.54813389e+00,-1.06836205e+02
3.98107171e+00,-1.06836205e+02
4.46683592e+00,-1.06836205e+02
5.01187234e+00,-1.06836205e+02
5.62341325e+00,-1.06836205e+02
6.30957344e+00,-1.06836205e+02
7.07945784e+00,-1.06836205e+02
7.94328235e+00,-1.06836205e+02
8.91250938e+00,-1.06836205e+02
1.00000000e+01,-1.06836205e+02
1.12201845e+01,-1.06836205e+02
1.25892541e+01,-1.06836205e+02
1.41253754e+01,-1.06836205e+02
1.58489319e+01,-1.06836205e+02
1.77827941e+01,-1.06836205e+02
1.99526231e+01,-1.06836205e+02
2.23872114e+01,-1.06836205e+02
2.51188643e+01,-1.06836205e+02
2.81838293e+01,-1.06836205e+02
3.16227766e+01,-1.06836205e+02
3.54813389e+01,-1.06836205e+02
3.98107171e+01,-1.06836205e+02
4.46683592e+01,-1.06836205e+02
5.01187234e+01,-1.06836205e+02
5.62341325e+01,-1.06836205e+02
6.30957344e+01,-1.06836205e+02
7.07945784e+01,-1.06836205e+02
7.94328235e+01,-1.06836205e+02
8.91250938e+01,-1.06836205e+02
1.00000000e+02,-1.06836205e+02
1.12201845e+02,-1.06836205e+02
1.25892541e+02,-1.06836205e+02
1.41253754e+02,-1.06836205e+02
1.58489319e+02,-1.06836205e+02
1.77827941e+02,-1.06836205e+02
1.99526231e+02,-1.06836205e+02
2.23872114e+02,-1.06836205e+02
2.51188643e+02,-1.06836205e+02
2.81838293e+02,-1.06836205e+02
3.16227766e+02,-1.06836205e+02
3.54813389e+02,-1.06836205e+02
3.98107171e+02,-1.06836205e+02
4.46683592e+02,-1.06836205e+02
5.01187234e+02,-1.06836205e+02
5.62341325e+02,-1.06836205e+02
6.30957344e+02,-1.06836205e+02
7.07945784e+02,-1.06836205e+02
7.94328235e+02,-1.06836205e+02
8.91250938e+02,-1.06836205e+02
1.00000000e+03,-1.06836205e+02
1.12201845e+03,-1.06836204e+02
